('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         960268 function calls (935630 primitive calls) in 1.997 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2481    0.001    0.000    0.003    0.000 css_parser.py:307(match)
    11741    0.003    0.000    0.003    0.000 _lxml.py:192(_getNsTag)
        1    0.000    0.000    0.003    0.003 header.py:1(<module>)
     4321    0.001    0.000    0.003    0.000 {built-in method builtins.max}
       18    0.000    0.000    0.003    0.000 dataclasses.py:568(_init_fn)
       24    0.000    0.000    0.003    0.000 dataclasses.py:627(_repr_fn)
      468    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.002    0.002 tasks.py:1(<module>)
     1477    0.002    0.000    0.002    0.000 __init__.py:906(_linkage_fixer)
      246    0.001    0.000    0.002    0.000 typing_extensions.py:3474(_collect_parameters)
      102    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
      404    0.001    0.000    0.002    0.000 enum.py:1562(__and__)
        1    0.000    0.000    0.002    0.002 pretty.py:1(<module>)
     4124    0.001    0.000    0.002    0.000 __init__.py:1065(handle_data)
        1    0.000    0.000    0.002    0.002 from_thread.py:1(<module>)
        1    0.000    0.000    0.002    0.002 events.py:1(<module>)
      283    0.000    0.000    0.002    0.000 typing.py:1174(__init__)
     6209    0.002    0.000    0.002    0.000 dammit.py:315(quoted_attribute_value)
     2925    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
      247    0.001    0.000    0.002    0.000 _connection.py:260(_process_event)
    19478    0.002    0.000    0.002    0.000 typing.py:2182(cast)
      446    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:124(setdefault)
      234    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
       36    0.000    0.000    0.002    0.000 typing.py:747(Optional)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
  506/505    0.001    0.000    0.002    0.000 _readers.py:157(__call__)
      446    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.002    0.002 _headers.py:1(<module>)
      130    0.000    0.000    0.002    0.000 _lxml.py:455(comment)
        1    0.000    0.000    0.002    0.002 _status_codes.py:1(<module>)
     2020    0.001    0.000    0.002    0.000 typing.py:1161(_is_dunder)
      122    0.001    0.000    0.002    0.000 enum.py:254(__set_name__)
        2    0.000    0.000    0.002    0.001 <frozen codecs>:319(decode)
        1    0.000    0.000    0.002    0.002 _decoders.py:314(decode)
        2    0.002    0.001    0.002    0.001 {built-in method _codecs.utf_8_decode}
